epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1865.4,0.69574,0.4475,1.02379,0.97225,0.96849,0.98352,0.85315,0.52988,0.30443,0.90163,0.000742625,0.000742625,0.000742625
43,1907.14,0.71342,0.45006,1.0262,0.96329,0.96977,0.98323,0.85641,0.51556,0.29299,0.89495,0.00073025,0.00073025,0.00073025
44,1949.79,0.6897,0.44411,1.01821,0.97144,0.97027,0.98637,0.85513,0.52487,0.29098,0.89989,0.000717875,0.000717875,0.000717875
45,1991.41,0.68525,0.43685,1.01591,0.9801,0.974,0.98755,0.85012,0.53374,0.28408,0.90329,0.0007055,0.0007055,0.0007055
46,2032.41,0.69484,0.43159,1.01772,0.97194,0.96048,0.98676,0.85974,0.51365,0.29598,0.89168,0.000693125,0.000693125,0.000693125
47,2077.61,0.68731,0.43503,1.01403,0.98203,0.98089,0.99143,0.86777,0.50557,0.27642,0.88915,0.00068075,0.00068075,0.00068075
48,2121.51,0.66834,0.42239,1.00371,0.97348,0.97473,0.99133,0.8749,0.49413,0.27481,0.88569,0.000668375,0.000668375,0.000668375
49,2162.51,0.68705,0.42467,1.02231,0.97311,0.98041,0.98718,0.86423,0.51134,0.28163,0.89584,0.000656,0.000656,0.000656
50,2204.26,0.66791,0.41421,1.01454,0.97392,0.97644,0.98792,0.8721,0.50168,0.27421,0.88478,0.000643625,0.000643625,0.000643625
51,2245.35,0.66062,0.41597,1.00345,0.96615,0.97912,0.98771,0.85806,0.51025,0.2777,0.88942,0.00063125,0.00063125,0.00063125
52,2286.08,0.6593,0.41685,0.99972,0.98325,0.97651,0.99176,0.87802,0.49413,0.26636,0.88186,0.000618875,0.000618875,0.000618875
53,2325.35,0.66865,0.4169,1.00922,0.9691,0.98412,0.98994,0.87071,0.4939,0.26388,0.8781,0.0006065,0.0006065,0.0006065
54,2365.68,0.6542,0.40582,1.00405,0.98407,0.98527,0.98923,0.87975,0.4827,0.26714,0.87917,0.000594125,0.000594125,0.000594125
55,2406.62,0.66598,0.40852,1.00676,0.97495,0.99437,0.99342,0.87678,0.48932,0.26647,0.87981,0.00058175,0.00058175,0.00058175
56,2447.82,0.65817,0.40734,0.99932,0.98259,0.97891,0.99095,0.88503,0.47521,0.26264,0.87382,0.000569375,0.000569375,0.000569375
57,2488.12,0.64465,0.39237,0.99717,0.97427,0.96915,0.99116,0.89004,0.47053,0.26402,0.87055,0.000557,0.000557,0.000557
58,2528.86,0.648,0.39084,0.99399,0.98437,0.98673,0.99095,0.88402,0.46702,0.25556,0.86883,0.000544625,0.000544625,0.000544625
59,2568.72,0.65082,0.39162,0.99873,0.98015,0.9726,0.99217,0.88581,0.4786,0.25472,0.8744,0.00053225,0.00053225,0.00053225
60,2609.34,0.63279,0.38485,0.99475,0.97851,0.99015,0.99069,0.88304,0.47051,0.25889,0.87024,0.000519875,0.000519875,0.000519875
61,2649.21,0.625,0.38983,0.97968,0.97954,0.98938,0.99123,0.89262,0.46007,0.24197,0.86586,0.0005075,0.0005075,0.0005075
62,2690.21,0.62891,0.38281,0.98709,0.98869,0.98937,0.99281,0.88576,0.47147,0.24798,0.87142,0.000495125,0.000495125,0.000495125
63,2730.27,0.62252,0.36912,0.97751,0.98695,0.9894,0.99311,0.89406,0.46694,0.24413,0.86881,0.00048275,0.00048275,0.00048275
64,2771.77,0.62705,0.37228,0.98355,0.97905,0.98779,0.99267,0.89599,0.46023,0.25085,0.86457,0.000470375,0.000470375,0.000470375
65,2812.04,0.60859,0.38061,0.97929,0.98713,0.98164,0.99301,0.8992,0.45899,0.24673,0.85849,0.000458,0.000458,0.000458
66,2853.4,0.61809,0.38288,0.98601,0.99304,0.99216,0.99194,0.89378,0.4597,0.24511,0.86533,0.000445625,0.000445625,0.000445625
67,2893.6,0.60161,0.36612,0.97163,0.98805,0.98647,0.99385,0.90029,0.44536,0.24121,0.86003,0.00043325,0.00043325,0.00043325
68,2934.31,0.60098,0.36498,0.97968,0.98474,0.98859,0.99347,0.89669,0.44842,0.24153,0.85884,0.000420875,0.000420875,0.000420875
69,2974.09,0.60548,0.37018,0.97089,0.98772,0.99194,0.99394,0.90402,0.44368,0.23782,0.85461,0.0004085,0.0004085,0.0004085
70,3015.54,0.59917,0.35856,0.9684,0.98696,0.98642,0.99372,0.90072,0.44483,0.23432,0.85778,0.000396125,0.000396125,0.000396125
71,3082.29,0.60854,0.36392,0.97776,0.99089,0.98966,0.9937,0.90289,0.43337,0.23284,0.85396,0.00038375,0.00038375,0.00038375
72,3125.34,0.57523,0.34332,0.94746,0.98861,0.98943,0.99399,0.90299,0.44007,0.22584,0.8571,0.000371375,0.000371375,0.000371375
73,3166.43,0.56609,0.34317,0.94889,0.98444,0.99191,0.99415,0.90389,0.43523,0.22965,0.85124,0.000359,0.000359,0.000359
74,3208.08,0.56724,0.33991,0.95439,0.9894,0.99003,0.99362,0.90907,0.43074,0.22676,0.85089,0.000346625,0.000346625,0.000346625
75,3258.17,0.56881,0.34158,0.95474,0.98984,0.98914,0.99306,0.91291,0.42088,0.22377,0.84774,0.00033425,0.00033425,0.00033425
76,3299.53,0.56311,0.33408,0.95049,0.98284,0.98976,0.99186,0.91097,0.42625,0.22691,0.84933,0.000321875,0.000321875,0.000321875
77,3340.45,0.55991,0.33085,0.95351,0.9895,0.99541,0.99414,0.91669,0.41668,0.22108,0.84505,0.0003095,0.0003095,0.0003095
78,3382.68,0.56614,0.34475,0.94182,0.99054,0.99612,0.9941,0.91472,0.41437,0.21824,0.84692,0.000297125,0.000297125,0.000297125
79,3427.78,0.55887,0.33154,0.94858,0.99316,0.99628,0.9941,0.92158,0.41001,0.21418,0.84152,0.00028475,0.00028475,0.00028475
80,3470.33,0.55704,0.3289,0.94331,0.98814,0.99662,0.99421,0.91986,0.40745,0.21413,0.83995,0.000272375,0.000272375,0.000272375
81,3511.4,0.54752,0.32607,0.94275,0.99102,0.99306,0.99403,0.91785,0.40541,0.21391,0.84056,0.00026,0.00026,0.00026
82,3552.61,0.53512,0.32121,0.94178,0.98947,0.99008,0.99435,0.92232,0.40507,0.21378,0.83938,0.000247625,0.000247625,0.000247625
83,3603.21,0.5417,0.31976,0.9419,0.99036,0.99531,0.99374,0.92388,0.39892,0.21433,0.83553,0.00023525,0.00023525,0.00023525
84,3644.83,0.53163,0.31206,0.94066,0.99217,0.99634,0.99363,0.92301,0.39984,0.20747,0.8364,0.000222875,0.000222875,0.000222875
85,3686.34,0.52575,0.31061,0.92841,0.99151,0.99661,0.99406,0.92676,0.39521,0.20523,0.83464,0.0002105,0.0002105,0.0002105
86,3727.05,0.52929,0.30708,0.92961,0.99105,0.99853,0.99382,0.92616,0.39384,0.20181,0.83295,0.000198125,0.000198125,0.000198125
87,3769.89,0.51843,0.30327,0.93441,0.99274,0.99851,0.99422,0.93066,0.3897,0.20186,0.83236,0.00018575,0.00018575,0.00018575
88,3811.74,0.51366,0.30145,0.92711,0.99625,0.99597,0.99473,0.93194,0.38768,0.19906,0.8319,0.000173375,0.000173375,0.000173375
89,3852.44,0.5128,0.3075,0.92737,0.99431,0.99853,0.99462,0.92901,0.38669,0.19815,0.83138,0.000161,0.000161,0.000161
90,3894.7,0.51622,0.30359,0.9214,0.99211,0.99853,0.99462,0.92977,0.38523,0.19738,0.83222,0.000148625,0.000148625,0.000148625
91,3945.22,0.49229,0.27097,0.90086,0.99646,0.99706,0.99462,0.93046,0.38631,0.20018,0.83261,0.00013625,0.00013625,0.00013625
92,3986.19,0.47741,0.25634,0.8923,0.99438,0.99685,0.99466,0.93564,0.37916,0.19858,0.82991,0.000123875,0.000123875,0.000123875
93,4026.36,0.47383,0.25084,0.89073,0.99071,0.99748,0.9946,0.93783,0.37484,0.19588,0.82877,0.0001115,0.0001115,0.0001115
94,4067.09,0.46455,0.24996,0.88231,0.99795,0.99706,0.9947,0.93584,0.37484,0.19448,0.82767,9.9125e-05,9.9125e-05,9.9125e-05
95,4112.54,0.45762,0.24823,0.8838,0.99873,0.99739,0.9947,0.9427,0.36883,0.19097,0.82544,8.675e-05,8.675e-05,8.675e-05
96,4156.09,0.44908,0.24391,0.88221,0.99903,0.99706,0.99471,0.94255,0.36747,0.18875,0.82565,7.4375e-05,7.4375e-05,7.4375e-05
97,4197.21,0.45345,0.24194,0.88523,0.99896,0.99717,0.99473,0.94648,0.36326,0.18694,0.82465,6.2e-05,6.2e-05,6.2e-05
98,4239.02,0.44728,0.2436,0.88092,0.99879,0.99706,0.9947,0.94475,0.36394,0.18555,0.82501,4.9625e-05,4.9625e-05,4.9625e-05
99,4294.64,0.44765,0.23751,0.87942,0.99798,0.99809,0.99471,0.94538,0.35901,0.1843,0.8232,3.725e-05,3.725e-05,3.725e-05
100,4336.75,0.44745,0.23688,0.88519,0.99899,0.99743,0.99472,0.94705,0.35593,0.18317,0.82239,2.4875e-05,2.4875e-05,2.4875e-05
